age,workclass,education,occupation,capital.gain,capital.loss,native.country,salaries,jobsatisfaction,male,female
18,NA, HS-grad,NA,0,0,United-States,22803,2,NA,1
27,Private, Bachelors, Adm-clerical,0,0,United-States,25674,4,1,NA
36,Private, Bachelors, Adm-clerical,0,0,United-States,30939,0,NA,1
21,Private, Bachelors, Sales,0,0,United-States,24978,12,1,NA
29,Private, HS-grad, Transport-moving,0,0,United-States,35703,15,1,NA
25,Private, HS-grad, Handlers-cleaners,0,0,United-States,28123,7,1,NA
73,Private, HS-grad, Farming-fishing,0,0,United-States,23656,6,1,NA
45,Private, Assoc-voc, Machine-op-inspct,0,0,United-States,66090,8,1,NA
28,Private, Bachelors, Exec-managerial,0,0,United-States,67916,8,NA,1
43,Private, Bachelors, Exec-managerial,0,0,United-States,38997,2,1,NA
47,Private, HS-grad, Craft-repair,0,0,United-States,34983,4,1,NA
20,Private, Some-college, Adm-clerical,0,0,United-States,27955,3,NA,1
22,Private, Some-college, Transport-moving,0,0,United-States,30197,15,1,NA
76,Self-emp-not-inc, 7th-8th, Craft-repair,0,0,United-States,31935,3,1,NA
24,Private, Some-college, Transport-moving,0,0,United-States,37635,14,1,NA
54,Self-emp-not-inc, Some-college, Sales,0,0,United-States,41427,12,1,NA
30,Private, Some-college, Machine-op-inspct,0,0,United-States,72524,7,1,NA
33,Private, Some-college, Craft-repair,0,0,United-States,26306,3,1,NA
30,Private, Some-college, Machine-op-inspct,0,0,United-States,26049,7,1,NA
40,Private, Assoc-acdm, Exec-managerial,0,0,United-States,82125,7,1,NA
27,NA, Some-college,NA,0,0,United-States,42403,5,1,NA
49,Private, Assoc-voc, Sales,0,0,United-States,22930,13,NA,1
30,Private, HS-grad, Craft-repair,0,0,United-States,34575,3,1,NA
22,Private, HS-grad, Adm-clerical,0,0,United-States,24745,0,NA,1
19,Private, HS-grad, Handlers-cleaners,0,0,United-States,23345,7,1,NA
46,Private, HS-grad, Protective-serv,0,0,United-States,36174,12,1,NA
51,Private, HS-grad, Adm-clerical,0,0,United-States,35025,2,1,NA
56,Private, 7th-8th, Machine-op-inspct,0,0,Dominican-Republic,39365,5,NA,1
53,Private, Some-college, Sales,0,0,United-States,40165,12,NA,1
60,NA, Assoc-voc,NA,0,0,United-States,17319,2,NA,1
27,Private, Bachelors, Prof-specialty,0,0,United-States,33980,14,NA,1
46,Private, Some-college, Exec-managerial,0,0,United-States,44429,5,NA,1
37,Private, HS-grad, Transport-moving,0,0,United-States,63729,13,1,NA
41,Private, Bachelors, Other-service,0,0,Vietnam,30801,11,1,NA
65,NA, Assoc-voc,NA,0,0,United-States,66280,2,1,NA
30,Self-emp-not-inc, Some-college, Adm-clerical,0,0,United-States,64328,1,NA,1
57,Self-emp-not-inc, HS-grad, Farming-fishing,0,0,United-States,33559,4,1,NA
44,Self-emp-inc, Some-college, Exec-managerial,0,0,United-States,29810,2,1,NA
32,Self-emp-not-inc, HS-grad, Farming-fishing,4064,0,United-States,34809,7,1,NA
27,Self-emp-not-inc, HS-grad, Transport-moving,0,0,United-States,19559,15,1,NA
57,Local-gov, Some-college, Adm-clerical,0,0,Mexico,29839,0,NA,1
59,Self-emp-not-inc, Bachelors, Farming-fishing,0,0,United-States,28012,7,1,NA
32,Private, Prof-school, Prof-specialty,15024,0,United-States,72072,6,NA,1
90,NA, HS-grad,NA,0,4356,United-States,25900,1,NA,1
22,Private, Bachelors, Exec-managerial,0,0,United-States,29949,5,NA,1
39,Private, HS-grad, Adm-clerical,0,0,United-States,28966,1,NA,1
43,Private, Assoc-voc, Exec-managerial,3103,0,United-States,78601,8,1,NA
38,Local-gov, Bachelors, Exec-managerial,0,0,United-States,59319,6,1,NA
61,Private, 9th, Sales,0,0,United-States,8735,13,1,NA
24,Private, Some-college, Sales,0,0,United-States,29819,13,1,NA
25,Private, Some-college, Sales,0,0,United-States,35642,14,1,NA
44,Private, Assoc-voc, Craft-repair,0,0,United-States,52129,7,1,NA
55,Local-gov, HS-grad, Adm-clerical,0,0,United-States,64550,4,NA,1
90,Private, Bachelors, Sales,9386,0,United-States,62370,10,1,NA
30,Private, HS-grad, Adm-clerical,0,0,United-States,34830,4,NA,1
44,Private, HS-grad, Craft-repair,0,0,United-States,69733,2,1,NA
36,Private, 10th, Craft-repair,0,0,United-States,41500,4,1,NA
63,Self-emp-inc, Some-college, Exec-managerial,0,0,United-States,80771,6,1,NA
60,Private, 5th-6th, Transport-moving,0,0,United-States,42443,13,1,NA
34,Self-emp-not-inc, Prof-school, Prof-specialty,0,0,United-States,65246,10,NA,1
49,Self-emp-not-inc, 11th, Exec-managerial,0,0,United-States,34524,6,1,NA
47,Private, Masters, Exec-managerial,0,0,United-States,73846,3,1,NA
42,Self-emp-inc, HS-grad, Sales,0,0,United-States,54198,13,1,NA
53,Private, 5th-6th, Craft-repair,0,0,Italy,41284,5,1,NA
23,Private, Some-college, Tech-support,4101,0,United-States,30120,12,NA,1
28,NA, Assoc-voc,NA,0,0,Mexico,18132,1,NA,1
20,Private, Some-college, Sales,0,0,United-States,28825,11,1,NA
43,Private, HS-grad, Handlers-cleaners,3908,0,United-States,37798,8,1,NA
32,Private, Prof-school, Prof-specialty,0,1977,United-States,67594,12,1,NA
43,Private, Bachelors, Sales,0,0,United-States,53745,14,1,NA
31,Private, HS-grad, Transport-moving,0,0,United-States,19900,15,1,NA
29,NA, HS-grad,NA,0,0,United-States,31362,1,NA,1
24,Private, Some-college, Adm-clerical,0,0,United-States,37699,3,1,NA
39,Private, Assoc-voc, Adm-clerical,0,0,United-States,25812,0,1,NA
29,Private, Some-college, Craft-repair,0,0,Jamaica,52300,4,1,NA
20,Private, 5th-6th, Handlers-cleaners,0,0,Mexico,23024,7,1,NA
23,NA, Some-college,NA,0,0,United-States,14965,0,1,NA
42,Private, 11th, Other-service,0,0,United-States,17418,4,NA,1
53,Private, HS-grad, Craft-repair,0,0,United-States,17555,1,1,NA
20,Private, HS-grad, Handlers-cleaners,0,0,United-States,22619,5,1,NA
58,Self-emp-not-inc, 1st-4th, Transport-moving,0,2179,United-States,30323,15,1,NA
51,Self-emp-not-inc, HS-grad, Sales,0,0,United-States,28748,9,1,NA
25,Private, HS-grad, Handlers-cleaners,0,0,United-States,51545,8,1,NA
38,Private, Assoc-acdm, Prof-specialty,0,0,United-States,39025,10,NA,1
41,Private, Some-college, Craft-repair,0,0,United-States,65001,4,1,NA
58,Private, Bachelors, Machine-op-inspct,0,0,United-States,73960,5,1,NA
25,Private, 10th, Machine-op-inspct,0,0,Dominican-Republic,40335,10,1,NA
50,Private, HS-grad, Craft-repair,0,0,United-States,29510,5,1,NA
32,Private, Bachelors, Exec-managerial,0,0,United-States,66547,6,1,NA
31,Self-emp-inc, Doctorate, Prof-specialty,0,0,United-States,30913,11,1,NA
22,Private, Some-college, Other-service,0,0,United-States,27490,7,NA,1
37,Private, HS-grad, Handlers-cleaners,0,0,El-Salvador,30073,3,1,NA
32,Private, Some-college, Sales,0,0,United-States,27370,12,NA,1
46,State-gov, Prof-school, Prof-specialty,0,1564,United-States,64223,10,NA,1
62,Private, HS-grad, Transport-moving,0,0,United-States,71740,15,1,NA
40,Local-gov, HS-grad, Other-service,0,0,NA,33693,8,1,NA
56,Private, Bachelors, Sales,7688,0,United-States,64684,15,1,NA
37,Private, Some-college, Exec-managerial,0,0,Japan,62991,7,NA,1
41,Private, 1st-4th, Farming-fishing,0,0,Mexico,24912,4,1,NA
56,Private, 7th-8th, Machine-op-inspct,0,0,United-States,19445,7,1,NA
20,Private, Some-college, Handlers-cleaners,0,0,United-States,31893,6,1,NA
34,Self-emp-not-inc, Bachelors, Sales,0,0,United-States,71028,14,1,NA
45,Private, HS-grad, Sales,0,0,United-States,63696,12,1,NA
30,Private, Some-college, Machine-op-inspct,0,0,United-States,68873,9,1,NA
51,Self-emp-not-inc, HS-grad, Exec-managerial,0,0,United-States,68385,6,1,NA
27,Private, 11th, Machine-op-inspct,0,0,United-States,31162,5,1,NA
38,Private, Assoc-voc, Sales,0,0,United-States,57903,11,1,NA
39,Private, Some-college, Handlers-cleaners,0,0,United-States,34746,6,1,NA
57,NA, Bachelors,NA,0,0,United-States,36871,0,1,NA
47,Private, Some-college, Exec-managerial,0,0,United-States,65038,3,1,NA
77,NA, HS-grad,NA,0,0,United-States,37068,1,1,NA
43,Private, HS-grad, Craft-repair,0,0,United-States,79969,4,1,NA
46,Local-gov, HS-grad, Exec-managerial,0,0,United-States,8682,8,1,NA
41,Private, Some-college, Craft-repair,0,0,United-States,83470,2,1,NA
20,Private, HS-grad, Adm-clerical,0,0,United-States,33977,0,NA,1
30,State-gov, 10th, Adm-clerical,0,0,United-States,38686,4,1,NA
30,Private, HS-grad, Other-service,0,0,United-States,31857,9,1,NA
22,Private, Some-college, Handlers-cleaners,0,0,United-States,25769,7,1,NA
25,Private, HS-grad, Transport-moving,0,0,United-States,65733,12,1,NA
18,Private, HS-grad, Sales,0,0,United-States,31270,14,NA,1
28,Private, Bachelors, Exec-managerial,0,1408,NA,30514,3,NA,1
50,Private, Bachelors, Tech-support,15024,0,United-States,68894,14,1,NA
28,Private, HS-grad, Other-service,0,0,United-States,13935,10,NA,1
21,Private, Some-college, Priv-house-serv,0,0,United-States,34918,12,NA,1
37,Private, Assoc-voc, Tech-support,0,0,United-States,27858,13,1,NA
28,Federal-gov, Bachelors, Prof-specialty,0,0,United-States,18780,13,NA,1
23,Private, 5th-6th, Other-service,0,0,Mexico,42313,9,1,NA
32,Private, Assoc-voc, Exec-managerial,0,0,England,44659,5,NA,1
27,Private, 12th, Machine-op-inspct,0,0,United-States,23787,10,1,NA
55,Private, HS-grad, Prof-specialty,0,0,United-States,42978,15,NA,1
44,Private, HS-grad, Craft-repair,0,0,United-States,70011,4,1,NA
25,Private, Bachelors, Prof-specialty,0,0,United-States,35465,9,1,NA
29,Private, HS-grad, Sales,0,0,United-States,36916,13,NA,1
50,Private, HS-grad, Exec-managerial,0,0,United-States,37180,3,NA,1
18,Private, HS-grad, Handlers-cleaners,0,0,United-States,31739,6,1,NA
74,Private, Bachelors, Other-service,0,0,United-States,13868,10,NA,1
22,Private, 9th, Sales,0,0,United-States,26835,11,1,NA
27,Private, Bachelors, Prof-specialty,0,0,United-States,24342,9,1,NA
27,State-gov, Some-college, Tech-support,0,0,United-States,22780,14,NA,1
41,Private, Prof-school, Prof-specialty,15024,0,United-States,72971,10,1,NA
24,Private, Some-college, Adm-clerical,7298,0,United-States,73558,3,1,NA
23,Private, HS-grad, Adm-clerical,0,0,United-States,44122,3,NA,1
34,Self-emp-not-inc, Prof-school, Prof-specialty,7688,0,United-States,76622,11,1,NA
46,State-gov, Bachelors, Exec-managerial,0,0,United-States,62660,6,1,NA
32,Private, Prof-school, Prof-specialty,0,0,United-States,38194,9,1,NA
41,Private, HS-grad, Craft-repair,0,0,United-States,51195,4,1,NA
29,Private, Assoc-voc, Farming-fishing,0,0,United-States,56109,2,1,NA
48,Private, 9th, Machine-op-inspct,0,0,China,32707,9,NA,1
51,Private, HS-grad, Other-service,0,0,Haiti,26373,11,1,NA
34,State-gov, 12th, Adm-clerical,0,0,United-States,26467,3,NA,1
58,Private, Bachelors, Exec-managerial,0,0,United-States,60777,4,1,NA
52,Private, HS-grad, Handlers-cleaners,0,0,United-States,24222,6,1,NA
37,Self-emp-not-inc, Bachelors, Exec-managerial,7298,0,Puerto-Rico,68382,4,1,NA
53,Private, Some-college, Adm-clerical,0,0,United-States,28799,0,NA,1
54,Private, Assoc-voc, Transport-moving,0,0,United-States,36936,12,1,NA
36,Private, HS-grad, Sales,0,0,United-States,37117,15,1,NA
25,Private, Assoc-voc, Adm-clerical,0,0,United-States,34033,1,NA,1
20,Private, Some-college, Prof-specialty,0,0,United-States,38159,12,NA,1
23,Private, Assoc-acdm, Adm-clerical,0,0,United-States,24762,1,1,NA
39,Self-emp-inc, Bachelors, Exec-managerial,0,0,United-States,79329,7,1,NA
20,Self-emp-not-inc, 10th, Machine-op-inspct,0,0,United-States,28095,10,1,NA
28,Private, Assoc-voc, Other-service,0,0,United-States,30045,14,1,NA
73,State-gov, HS-grad, Adm-clerical,0,0,United-States,30705,0,NA,1
67,Private, HS-grad, Protective-serv,0,0,United-States,36104,10,1,NA
56,Private, Bachelors, Exec-managerial,0,0,United-States,64712,6,1,NA
32,Private, Assoc-voc, Craft-repair,0,0,United-States,37448,3,1,NA
42,Private, Some-college, Machine-op-inspct,0,1590,United-States,34414,9,1,NA
33,Private, HS-grad, Other-service,0,0,United-States,20276,6,1,NA
37,Private, HS-grad, Other-service,0,0,United-States,27003,8,1,NA
33,Private, Some-college, Exec-managerial,0,0,United-States,17984,4,1,NA
31,Private, 10th, Adm-clerical,0,0,United-States,26699,3,NA,1
59,Private, Masters, Exec-managerial,0,0,United-States,58718,5,1,NA
21,Private, HS-grad, Adm-clerical,0,0,United-States,29640,3,1,NA
58,Self-emp-inc, Some-college, Exec-managerial,0,0,United-States,62142,9,1,NA
24,Local-gov, 10th, Other-service,0,0,United-States,40601,11,1,NA
26,State-gov, Some-college, Protective-serv,0,0,United-States,29320,12,1,NA
26,Private, 11th, Transport-moving,0,0,United-States,25021,11,1,NA
33,Local-gov, Masters, Prof-specialty,0,0,Germany,27818,13,NA,1
25,Private, Bachelors, Sales,0,0,United-States,29093,11,1,NA
21,Private, 10th, Machine-op-inspct,0,0,United-States,47192,9,1,NA
24,Private, HS-grad, Machine-op-inspct,0,0,United-States,24989,7,1,NA
39,Self-emp-not-inc, Assoc-acdm, Adm-clerical,0,0,United-States,71620,2,NA,1
68,Private, Some-college, Adm-clerical,0,0,United-States,49521,1,NA,1
66,Self-emp-not-inc, Some-college, Sales,0,0,United-States,42417,13,NA,1
38,Private, Bachelors, Farming-fishing,0,0,United-States,27998,2,1,NA
41,Private, Masters, Exec-managerial,0,0,United-States,64158,4,1,NA
71,NA, 7th-8th,NA,0,0,Poland,28216,0,NA,1
37,Private, HS-grad, Craft-repair,0,0,United-States,22467,6,1,NA
54,Self-emp-not-inc, Masters, Sales,4386,0,United-States,63670,9,1,NA
27,State-gov, Bachelors, Prof-specialty,0,0,United-States,37105,10,1,NA
49,Private, Bachelors, Prof-specialty,0,0,United-States,28112,15,NA,1
19,State-gov, Some-college, Prof-specialty,0,0,United-States,26425,13,1,NA
25,Private, Some-college, Transport-moving,0,0,United-States,41635,15,1,NA
47,Federal-gov, Some-college, Adm-clerical,0,0,United-States,79989,1,1,NA
40,Private, Some-college, Sales,0,0,United-States,24409,14,1,NA
38,Private, Bachelors, Exec-managerial,3325,0,United-States,34840,2,1,NA
25,Private, HS-grad, Other-service,0,0,United-States,36804,9,1,NA
25,Private, Some-college, Craft-repair,0,0,United-States,37634,1,NA,1
23,Private, 10th, Handlers-cleaners,0,0,United-States,32531,7,1,NA
28,Private, Masters, Sales,0,0,United-States,38488,15,NA,1
29,Private, HS-grad, Craft-repair,0,0,United-States,35851,2,1,NA
32,Private, 11th, Craft-repair,0,0,United-States,39418,3,1,NA
34,Private, HS-grad, Other-service,0,0,United-States,11135,6,NA,1
52,Private, Bachelors, Prof-specialty,0,0,United-States,70425,15,1,NA
33,Self-emp-not-inc, HS-grad, Farming-fishing,0,0,United-States,34169,5,1,NA
19,Private, Some-college, Sales,0,0,United-States,32066,15,1,NA
NA,Private, Doctorate, Prof-specialty,20051,0,United-States,73210,13,1,NA
41,Private, 10th, Handlers-cleaners,0,0,United-States,33078,6,1,NA
18,Self-emp-inc, HS-grad, Other-service,0,0,India,31211,9,NA,1
29,Private, Some-college, Craft-repair,0,1485,United-States,71011,4,1,NA
40,Private, Masters, Exec-managerial,0,0,United-States,67234,3,1,NA
51,Self-emp-not-inc, Masters, Prof-specialty,0,0,United-States,61390,5,1,NA
49,Private, Some-college, Adm-clerical,0,0,United-States,37223,4,1,NA
20,State-gov, Some-college, Other-service,0,0,United-States,28092,10,NA,1
38,Local-gov, HS-grad, Craft-repair,0,0,United-States,71115,4,1,NA
57,Private, 5th-6th, Other-service,0,0,Cuba,30209,10,1,NA
35,Private, Some-college, Sales,4064,0,United-States,34696,12,1,NA
66,Private, 11th, Sales,0,0,United-States,37659,14,1,NA
27,NA, Bachelors,NA,0,0,United-States,21311,1,1,NA
25,Private, Assoc-voc, Adm-clerical,0,0,United-States,27191,4,NA,1
77,NA, Masters,NA,9386,0,United-States,64583,0,1,NA
19,NA, 10th,NA,0,0,United-States,46037,3,NA,1
70,Private, HS-grad, Handlers-cleaners,0,2174,United-States,62008,5,1,NA
59,Self-emp-not-inc, 7th-8th, Farming-fishing,0,0,United-States,29278,5,1,NA
25,Private, Bachelors, Prof-specialty,0,0,United-States,41596,10,1,NA
44,Local-gov, Prof-school, Prof-specialty,10520,0,United-States,64550,11,1,NA
37,Private, Masters, Exec-managerial,0,0,El-Salvador,68916,6,1,NA
75,NA, 10th,NA,0,0,China,24974,2,NA,1
21,NA, HS-grad,NA,0,0,United-States,27390,1,NA,1
21,Private, HS-grad, Sales,4101,0,United-States,31365,14,NA,1
47,Federal-gov, HS-grad, Craft-repair,0,0,United-States,59766,0,1,NA
20,Private, HS-grad, Adm-clerical,0,1721,United-States,21869,0,NA,1
32,State-gov, HS-grad, Protective-serv,0,0,United-States,28143,15,1,NA
28,Private, HS-grad, Adm-clerical,0,0,United-States,17245,2,NA,1
53,Private, HS-grad, Transport-moving,0,0,United-States,27900,13,1,NA
19,NA, HS-grad,NA,0,0,United-States,37425,2,1,NA
58,Private, Some-college, Sales,0,0,United-States,28954,15,NA,1
22,Private, HS-grad, Sales,0,0,United-States,39054,12,NA,1
23,Private, 11th, Exec-managerial,0,0,United-States,32866,6,1,NA
21,Private, HS-grad, Handlers-cleaners,3325,0,United-States,33087,5,1,NA
36,Private, HS-grad, Craft-repair,0,0,United-States,40532,5,1,NA
39,Private, Some-college, Other-service,0,0,United-States,41015,11,NA,1
34,Local-gov, Bachelors, Prof-specialty,0,0,United-States,23579,12,NA,1
41,Local-gov, Masters, Prof-specialty,0,0,United-States,17197,7,NA,1
72,Private, Bachelors, Sales,1455,0,United-States,20091,12,1,NA
34,Private, HS-grad, Other-service,0,0,United-States,63058,8,NA,1
51,Local-gov, Bachelors, Prof-specialty,0,1902,United-States,58904,10,1,NA
32,Self-emp-not-inc, Assoc-voc, Craft-repair,0,0,United-States,36600,7,1,NA
38,Private, Some-college, Exec-managerial,0,0,United-States,61588,4,NA,1
37,Private, Some-college, Craft-repair,0,0,United-States,33965,8,1,NA
21,NA, Some-college,NA,0,0,United-States,24202,0,1,NA
21,Private, Some-college, Prof-specialty,0,0,United-States,41424,9,NA,1
26,Private, Some-college, Adm-clerical,0,0,United-States,45455,1,1,NA
34,Private, Some-college, Handlers-cleaners,0,1887,United-States,65489,8,1,NA
18,Private, Some-college, Sales,0,0,United-States,37271,15,NA,1
27,Private, 11th, Exec-managerial,0,0,United-States,23266,8,NA,1
20,Private, Some-college, Adm-clerical,0,0,Nicaragua,35830,1,NA,1
36,Private, Assoc-voc, Adm-clerical,0,0,United-States,75641,2,1,NA
31,NA, Bachelors,NA,0,0,United-States,34898,1,1,NA
32,Private, Bachelors, Exec-managerial,0,0,United-States,62578,6,1,NA
54,Private, HS-grad, Craft-repair,0,0,United-States,62695,3,1,NA
34,Local-gov, Masters, Prof-specialty,0,0,United-States,33192,11,NA,1
46,Private, Some-college, Sales,0,0,United-States,67292,12,1,NA
33,Private, 11th, Machine-op-inspct,0,0,United-States,26296,7,1,NA
32,Private, Bachelors, Prof-specialty,99999,0,United-States,66261,14,1,NA
42,Private, Assoc-voc, Tech-support,0,0,United-States,21812,15,1,NA
30,Private, HS-grad, Craft-repair,0,0,United-States,27590,1,1,NA
37,Private, Some-college, Other-service,0,0,United-States,61314,6,1,NA
28,Private, HS-grad, Machine-op-inspct,0,0,United-States,28351,7,1,NA
25,Private, Bachelors, Exec-managerial,4101,0,United-States,28098,5,1,NA
44,Self-emp-not-inc, Some-college, Other-service,0,0,United-States,63707,11,1,NA
40,Private, HS-grad, Machine-op-inspct,0,0,United-States,33466,8,1,NA
36,Private, Some-college, Exec-managerial,0,0,United-States,17888,6,1,NA
21,Private, Some-college, Adm-clerical,0,0,United-States,39354,5,1,NA
39,State-gov, Doctorate, Prof-specialty,0,0,United-States,61182,11,1,NA
24,Private, Bachelors, Prof-specialty,0,0,United-States,32951,11,1,NA
46,Private, HS-grad, Transport-moving,0,0,United-States,29706,15,1,NA
47,NA, Bachelors,NA,0,0,United-States,67936,2,1,NA
47,Private, Bachelors, Sales,0,1977,United-States,77605,13,1,NA
35,Private, Prof-school, Prof-specialty,0,0,United-States,61902,12,1,NA
60,Self-emp-not-inc, 7th-8th, Transport-moving,0,0,United-States,64541,15,1,NA
35,Private, Bachelors, Other-service,0,0,Poland,41233,8,NA,1
33,Private, HS-grad, Other-service,0,0,China,31539,9,NA,1
21,Private, Assoc-acdm, Prof-specialty,0,0,United-States,25466,14,NA,1
37,Private, Bachelors, Tech-support,0,0,United-States,74967,11,1,NA
48,Federal-gov, HS-grad, Adm-clerical,0,0,United-States,58001,0,1,NA
58,Private, 7th-8th, Farming-fishing,0,0,Guatemala,19591,5,NA,1
21,Private, HS-grad, Handlers-cleaners,0,0,United-States,37684,7,NA,1
22,Private, HS-grad, Handlers-cleaners,0,0,United-States,35184,7,1,NA
22,Private, HS-grad, Other-service,0,0,United-States,32932,8,NA,1
28,Self-emp-not-inc, Masters, Exec-managerial,0,0,United-States,60188,4,NA,1
33,NA, Assoc-voc,NA,7688,0,United-States,63376,5,NA,1
23,Federal-gov, HS-grad, Prof-specialty,0,0,United-States,41732,10,1,NA
58,State-gov, HS-grad, Adm-clerical,0,0,United-States,64611,0,1,NA
24,NA, Bachelors,NA,0,0,United-States,32493,5,1,NA
38,Local-gov, Bachelors, Craft-repair,0,0,Philippines,38873,3,1,NA
49,Private, HS-grad, Sales,0,0,Mexico,27152,10,1,NA
47,Private, Bachelors, Exec-managerial,0,0,United-States,57194,8,1,NA
50,Private, Bachelors, Exec-managerial,0,1902,United-States,64908,5,1,NA
21,Private, HS-grad, Prof-specialty,0,0,United-States,35162,11,NA,1
55,Private, HS-grad, Adm-clerical,0,0,United-States,35024,1,NA,1
47,Private, 11th, Handlers-cleaners,0,0,United-States,27822,5,1,NA
19,Private, HS-grad, Prof-specialty,0,0,United-States,18635,11,NA,1
47,Private, HS-grad, Tech-support,0,0,United-States,27398,11,1,NA
36,Private, 11th, Craft-repair,0,0,United-States,26087,9,1,NA
28,Local-gov, Assoc-acdm, Protective-serv,0,2002,England,25718,12,1,NA
42,Private, HS-grad, Sales,0,0,United-States,36819,13,NA,1
41,Private, Masters, Prof-specialty,27828,0,United-States,60996,8,NA,1
46,Private, Bachelors, Sales,99999,0,United-States,66308,12,1,NA
32,Private, HS-grad, Sales,0,0,United-States,33983,12,1,NA
34,Private, 10th, Other-service,0,0,United-States,25829,9,NA,1
33,Private, 7th-8th, Craft-repair,0,0,United-States,32889,3,1,NA
60,State-gov, Bachelors, Exec-managerial,0,0,United-States,61831,4,1,NA
53,Private, HS-grad, Transport-moving,0,0,United-States,28621,15,1,NA
24,Private, Bachelors, Tech-support,0,0,United-States,16739,12,NA,1
39,Federal-gov, Some-college, Handlers-cleaners,0,1977,United-States,71919,7,1,NA
23,Private, Some-college, Craft-repair,0,0,United-States,33012,8,1,NA
50,Private, Bachelors, Adm-clerical,0,1902,NA,65433,4,1,NA
36,Local-gov, HS-grad, Adm-clerical,0,0,United-States,21280,0,NA,1
19,Private, 12th, Prof-specialty,1055,0,United-States,31613,8,NA,1
26,Private, HS-grad, Adm-clerical,0,0,United-States,18394,0,NA,1
38,Private, HS-grad, Sales,0,0,United-States,69302,15,1,NA
41,Private, Bachelors, Craft-repair,7688,0,United-States,74229,5,1,NA
22,Private, Some-college, Sales,0,0,United-States,26617,12,NA,1
38,Private, Assoc-acdm, Machine-op-inspct,10520,0,United-States,68854,6,NA,1
72,NA, Some-college,NA,9386,0,United-States,69162,0,1,NA
39,Private, HS-grad, Craft-repair,0,0,United-States,39342,4,1,NA
35,State-gov, HS-grad, Craft-repair,7298,0,United-States,58051,4,1,NA
38,Local-gov, Some-college, Exec-managerial,0,0,United-States,21209,5,NA,1
19,Private, HS-grad, Other-service,0,0,United-States,29663,7,NA,1
26,Private, HS-grad, Transport-moving,0,0,United-States,27645,15,1,NA
52,Private, Bachelors, Craft-repair,0,0,United-States,29277,3,1,NA
41,Private, 5th-6th, Other-service,0,1579,Nicaragua,33756,10,1,NA
45,Private, HS-grad, Adm-clerical,0,0,United-States,28012,1,NA,1
58,Federal-gov, Some-college, Adm-clerical,0,0,United-States,69280,4,1,NA
34,Private, Bachelors, Sales,0,0,United-States,27488,12,1,NA
36,Private, HS-grad, Machine-op-inspct,0,0,United-States,35565,7,1,NA
19,Without-pay, HS-grad, Farming-fishing,0,0,United-States,53.9844299200922,7,1,NA
26,State-gov, 11th, Other-service,0,0,United-States,34369,7,NA,1
60,Private, 10th, Transport-moving,0,0,United-States,32228,15,1,NA
35,Self-emp-not-inc, HS-grad, Exec-managerial,0,0,United-States,33778,5,1,NA
39,Private, 10th, Other-service,0,0,United-States,38503,13,NA,1
27,Private, HS-grad, Handlers-cleaners,0,0,Japan,11989,7,NA,1
26,Federal-gov, Masters, Prof-specialty,0,0,United-States,27883,12,1,NA
17,Private, 12th, Other-service,0,0,United-States,36754,9,1,NA
59,Self-emp-not-inc, HS-grad, Sales,0,0,England,61166,12,1,NA
53,Local-gov, HS-grad, Exec-managerial,0,0,United-States,26856,2,1,NA
35,Private, 11th, Transport-moving,0,0,United-States,24334,15,1,NA
34,Local-gov, Some-college, Exec-managerial,0,0,United-States,61128,6,1,NA
36,Private, HS-grad, Tech-support,0,0,United-States,71703,15,1,NA
36,Private, HS-grad, Sales,0,0,United-States,29121,13,1,NA
21,Private, HS-grad, Other-service,0,0,United-States,28173,11,1,NA
29,Private, Some-college, Sales,0,0,United-States,23838,15,NA,1
35,Private, Bachelors, Prof-specialty,0,0,United-States,61927,10,1,NA
59,Self-emp-not-inc, Bachelors, Exec-managerial,0,0,United-States,61874,5,1,NA
22,Private, Some-college, Other-service,0,1602,United-States,28914,11,1,NA
50,Local-gov, Masters, Prof-specialty,0,0,United-States,42271,8,1,NA
24,Federal-gov, Bachelors, Prof-specialty,0,0,United-States,19773,15,NA,1
36,Private, Bachelors, Tech-support,0,0,United-States,30012,14,NA,1
31,Private, HS-grad, Machine-op-inspct,4386,0,United-States,57687,5,NA,1
42,Self-emp-not-inc, Some-college, Craft-repair,0,0,El-Salvador,19836,4,1,NA
38,Private, 7th-8th, Sales,0,0,United-States,38325,12,NA,1
52,Private, HS-grad, Exec-managerial,0,0,United-States,34995,7,1,NA
46,Private, 10th, Craft-repair,0,0,United-States,30737,11,1,NA
23,Private, Some-college, Craft-repair,0,0,United-States,26593,2,1,NA
54,Private, 5th-6th, Sales,0,0,United-States,29250,14,1,NA
27,Private, HS-grad, Adm-clerical,0,0,United-States,26720,2,NA,1
42,Private, Bachelors, Other-service,0,0,United-States,38431,8,NA,1
33,State-gov, HS-grad, Craft-repair,0,0,United-States,28227,3,1,NA
19,Private, Assoc-acdm, Exec-managerial,0,0,United-States,29800,9,NA,1
59,Private, 11th, Other-service,3908,0,United-States,31075,9,NA,1
54,Private, HS-grad, Other-service,0,0,United-States,38354,12,NA,1
48,Private, 7th-8th, Transport-moving,0,1672,United-States,52886,12,1,NA
19,NA, Some-college,NA,0,0,United-States,24798,0,1,NA
45,Private, HS-grad, Adm-clerical,0,0,United-States,17570,5,NA,1
36,Private, Bachelors, Exec-managerial,0,0,United-States,24077,9,1,NA
35,Self-emp-not-inc, Assoc-acdm, Craft-repair,0,0,United-States,23953,4,1,NA
